Iteration;InternalAgent;OuterAgent;IGGIAgent;FlawedAgent;PiersAgent;VanDenBerghAgent;Mirror
6000;3.92;6.89;4.34;0.06;8.47;8.9;18.62
6025;3.66;6.26;3.49;0.0;7.45;8.76;17.67
6050;4.27;6.52;4.23;0.0;9.05;8.85;17.98
6075;3.29;7.27;3.69;0.03;8.72;8.81;18.62
6100;3.43;6.74;4.14;0.0;8.93;9.51;18.22
6125;3.47;7.08;4.05;0.02;8.12;9.47;18.51
6150;4.21;7.06;3.87;0.0;8.53;8.38;18.35
6175;3.86;6.19;4.15;0.05;8.1;8.6;18.75
6200;3.99;6.77;4.0;0.05;8.94;8.48;19.52
6225;3.86;7.09;3.81;0.0;8.67;9.1;19.4
6250;1.85;4.62;3.85;0.0;8.1;7.42;17.81
6275;3.63;5.1;4.42;0.11;8.3;8.38;18.39
6300;3.49;6.0;4.71;0.04;7.52;8.02;18.73
6325;3.28;5.82;3.66;0.0;8.03;7.89;17.36
6350;3.62;6.74;4.59;0.0;9.19;8.45;19.18
6375;3.12;6.17;4.1;0.0;8.39;7.93;18.45
6400;2.19;4.99;3.68;0.0;7.58;7.96;18.78
6425;3.31;5.02;4.16;0.02;7.84;8.8;18.94
6450;3.03;4.72;3.51;0.0;7.48;8.38;18.63
6475;3.53;6.36;4.53;0.03;9.06;8.53;18.83
6500;3.56;7.1;4.18;0.0;8.67;9.3;19.04
6525;3.62;6.77;3.99;0.0;8.36;9.31;18.33
6550;3.14;4.88;4.57;0.0;8.0;7.36;18.66
6575;3.9;6.31;4.78;0.0;9.22;8.99;18.47
6600;3.59;7.16;5.1;0.08;8.75;9.38;18.72
6625;4.04;6.99;4.6;0.06;8.75;8.94;19.33
6650;3.58;7.08;4.04;0.0;8.88;8.57;18.69
6675;3.43;6.17;4.05;0.03;7.65;6.79;18.2
6700;2.84;6.5;4.03;0.0;7.95;7.84;18.94
6725;4.26;6.87;4.95;0.04;9.09;8.28;19.13
6750;3.28;5.73;4.22;0.0;8.9;8.4;18.85
6775;3.17;5.7;3.59;0.0;8.59;9.09;17.85
6800;3.14;6.72;4.7;0.04;9.37;8.84;18.63
6825;4.32;6.28;4.61;0.0;8.02;9.28;18.54
6850;3.42;6.64;4.45;0.0;8.53;8.75;19.0
6875;3.39;6.47;5.11;0.05;8.79;9.45;18.7
6900;3.26;5.99;4.59;0.0;7.82;9.11;19.42
6925;3.51;5.35;4.43;0.06;7.2;8.39;18.89
6950;3.81;6.26;4.73;0.0;8.51;7.89;18.93
6975;3.81;6.18;4.71;0.0;9.64;9.29;18.8
7000;3.73;5.79;5.05;0.01;8.64;7.61;18.07
7025;4.58;5.79;5.41;0.1;9.75;9.07;18.74
7050;4.1;6.74;4.62;0.0;8.48;7.83;18.58
7075;3.88;5.85;4.7;0.03;8.16;8.33;19.45
7100;3.51;6.48;4.55;0.0;8.9;7.4;18.79
7125;3.25;5.71;4.9;0.0;7.75;8.62;18.89
7150;2.73;5.55;3.97;0.0;7.94;8.01;18.67
7175;2.96;5.51;4.71;0.0;8.19;8.24;18.34
7200;2.4;5.69;4.42;0.09;9.07;7.63;19.32
7225;3.68;5.98;4.23;0.0;8.97;7.97;18.86
7250;4.19;6.02;4.34;0.15;8.67;9.03;19.27
7275;4.22;5.71;4.17;0.22;8.25;7.76;18.83
7300;3.96;6.7;4.61;0.1;8.41;8.61;18.23
7325;4.24;6.96;4.1;0.19;9.19;9.33;18.5
7350;4.34;6.09;4.49;0.02;9.28;9.78;18.5
7375;4.33;7.13;4.59;0.09;8.4;10.0;19.42
7400;4.2;6.89;4.5;0.0;8.47;8.88;18.97
7425;3.72;6.54;4.18;0.0;8.36;8.22;18.17
7450;4.09;6.36;4.47;0.11;8.68;8.98;18.11
7475;2.99;6.77;3.94;0.04;8.82;8.71;18.71
7500;3.87;6.41;4.14;0.01;8.09;8.53;18.85
7525;4.16;6.16;4.11;0.01;7.42;8.39;15.37
7550;4.16;7.2;4.28;0.0;9.41;8.7;18.85
7575;4.4;6.75;4.22;0.0;8.95;8.86;19.43
7600;4.04;6.87;4.0;0.06;9.1;9.06;19.12
7625;2.9;6.08;4.39;0.0;7.99;8.8;18.63
7650;3.95;6.63;4.75;0.04;9.01;9.46;18.12
7675;3.95;6.67;4.81;0.14;8.69;7.94;18.75
7700;4.01;5.82;4.26;0.03;8.37;8.65;19.0
7725;3.9;7.24;4.36;0.05;8.49;9.96;19.45
7750;3.02;6.6;3.66;0.0;8.31;8.37;19.14
7775;2.12;5.19;3.33;0.0;6.73;6.84;19.65
7800;3.83;6.03;4.49;0.0;8.01;7.98;19.31
7825;1.99;4.57;3.5;0.0;6.54;6.12;18.54
7850;3.8;5.23;3.97;0.0;8.32;7.23;19.63
